Ticker,Pick/Not,Category,Stars,NET,YTD,1yr,3yr,5yr,10yr,Cusip,Code
FNMIX,Pick,Emerging Markets Bond,4,0.82,-7.89,-7.62,4.02,4.00,9.72,315910836,some text
TGINX,Pick,Emerging Markets Bond,4,1.15,-6.48,-6.25,4.89,2.89,9.82,87234N351,1231 o324n4 other text
TGEIX,,Emerging Markets Bond,4,0.87,-6.29,-6.06,5.13,3.14,10.10,87234N765,
FAGIX,Pick,High Yield Bond,5,0.67,-6.23,-1.29,5.94,5.23,12.66,316062108,
SPHIX,Pick,High Yield Bond,4,0.7,-2.98,0.56,7.00,3.99,10.75,316146406,
JAHYX,,High Yield Bond,3,0.88,-3.76,-0.16,5.11,3.50,9.83,471023762,
MWHYX,,High Yield Bond,3,0.91,-1.67,0.40,4.12,2.45,9.64,592905871,
NHFIX,,High Yield Bond,2,0.82,-4.19,-0.76,4.78,3.32,9.27,665162699,
LSBRX,,Multisector Bond,3,0.91,-3.36,-1.36,3.84,2.22,8.86,543495832,
BUFBX,,Allocation--70% to 85% Equity,4,1.01,-7.54,4.73,7.51,5.43,10.33,119428100,
FBALX,Pick,Allocation--50% to 70% Equity,5,0.53,-4.67,2.72,7.81,7.52,11.26,316345206,
PVSAX,,Allocation--70% to 85% Equity,1,0.66,-25.15,-15.47,-3.28,-0.73,N/A,74676P102,
PRWCX,,Allocation--50% to 70% Equity,5,0.71,-0.10,5.50,9.11,9.68,13.50,77954M105,
VILLX,,Allocation--70% to 85% Equity,3,0.94,-6.23,3.34,5.24,2.29,11.63,742935539,
FCVSX,,Convertibles,3,0.45,-2.20,3.93,5.23,3.96,12.89,316145200,
FSRPX,Pick,Consumer Cyclical,5,0.78,3.16,16.53,13.45,14.75,23.09,316390731,
BIPIX,,Trading--Leveraged Equity,N/A,1.43,-14.49,1.30,2.11,9.81,22.23,743185480,
FBIOX,,Health,2,0.74,-12.89,2.65,-0.69,8.95,18.42,316390772,
FSPHX,Pick,Health,4,0.73,5.68,17.84,10.44,13.98,20.23,316390301,
FSMEX,Pick,Health,5,0.76,14.26,22.65,20.81,19.25,19.37,316390475,
FSDAX,Pick,Industrials,5,0.76,-8.20,4.93,17.49,12.64,17.90,316390806,
FSCHX,,Natural Resources,5,0.77,-22.89,-14.94,8.46,6.26,16.53,316390889,
FSDPX,Pick,Natural Resources,4,0.79,-24.25,-15.25,3.66,2.07,12.97,316390590,
REACX - !!!! NO DATA FOUND
BREFX,,Real Estate,1,1.32,-23.01,-13.15,2.32,5.02,N/A,06828M702,
CSRSX,,Real Estate,4,0.97,-4.78,3.64,6.05,10.05,14.67,192476109,
FSRPX,Pick,Consumer Cyclical,5,0.78,3.16,16.53,13.45,14.75,23.09,316390731,
TVRVX,,Global Real Estate,2,1.36,-20.63,-11.37,2.87,3.97,11.64,884116872,
FBSOX,Pick,Technology,4,0.77,3.78,14.42,15.73,15.37,21.65,316390483,
FSCSX,Pick,Technology,5,0.73,3.61,14.17,19.55,17.09,22.07,316390822,
GASFX,,Utilities,3,1.01,-4.00,-1.53,8.10,6.81,12.25,42588P833,
