FNMIX,315910836,some text
TGINX,87234N351,1231 o324n4 other text
TGEIX,87234N765
FAGIX,316062108
SPHIX,316146406
JAHYX,471023762
MWHYX,592905871
NHFIX,665162699
LSBRX,543495832
BUFBX,119428100
FBALX,316345206
PVSAX,74676P102
PRWCX,77954M105
VILLX,742935539
FCVSX,316145200
FSRPX,316390731
BIPIX,743185480
FBIOX,316390772
FSPHX,316390301
FSMEX,316390475
FSDAX,316390806
FSCHX,316390889
FSDPX,316390590
REACX,25076886
BREFX,06828M702
CSRSX,192476109
FSRPX,316390731
TVRVX,884116872
FBSOX,316390483
FSCSX,316390822
GASFX,42588P833
MACSX,577130206
FICDX,315910307
MCDFX,577125305
OBCHX,674375407
FJSCX,315910760
FPBFX,316343201
DREGX,262028301
FEMKX,315910869
HLEMX,412295305
WAFMX,936793819
MISAX,92647K101
WAIGX,936793405
ARTIX,04314H204
ARTKX,04314H881
DODFX,256206103
FDIVX,315910802
FIGRX,315910208
FOSFX,316343102
LISOX,52106N582
OAKIX,413838202
QFVOX,70472Q708
FIVFX,315910810
RBCX,77954Q106
