FNMIX,315910836
TGINX,87234N351
TGEIX,87234N765
FAGIX,316062108
SPHIX,316146406
JAHYX,471023762
MWHYX,592905871
NHFIX,665162699
LSBRX,543495832
BUFBX,119428100
FBALX,316345206
PVSAX,74676P102
PRWCX,77954M105
VILLX,742935539
FCVSX,316145200
FSRPX,316390731
BIPIX,743185480
FBIOX,316390772
FSPHX,316390301
FSMEX,316390475
FSDAX,316390806
FSCHX,316390889
FSDPX,316390590
REACX,025076886
BREFX,06828M702
CSRSX,192476109
FSRPX,316390731
TVRVX,884116872
FBSOX,316390483
FSCSX,316390822
GASFX,42588P833
MACSX,577130206
FICDX,315910307
MCDFX,577125305
OBCHX,674375407
FJSCX,315910760
FPBFX,316343201
DREGX,262028301
FEMKX,315910869
HLEMX,412295305
WAFMX,936793819
MISAX,92647K101
WAIGX,936793405
ARTIX,04314H204
ARTKX,04314H881
DODFX,256206103
FDIVX,315910802
FIGRX,315910208
FOSFX,316343102
LISOX,52106N582
OAKIX,413838202
QFVOX,70472Q708
FIVFX,315910810
ARTHX,04314H816
ARTGX,04314H840
ARTRX,04314H824
TOLLX,25156A874
FWWFX,315910505
FPRAX,302546106
WWNPX,494613607
MGLBX,573012606
OAKWX,413838822
TBGVX,901165100
AVPAX,02368A620
HUSIX,007989379
SKSEX,00170K208
HYBUX,41012R811
HDPSX,742935299
HSCSX,437769508
BIAUX,115233793
GTCSX,378690606
BUFOX,119530301
RYVPX,780905741
PRNHX,779562107
PRDSX,779917103
ACMVX,025076654
HWMAX,44134R206
JMCVX,471023598
PYSAX,74676P169
VASVX,921946109
CAAPX,040337206
FLPSX,316345305
FLVCX,316389873
CHTTX,00171A738
RYVFX,780905733
TMCTX,89155H785
VSEQX,922038104
AKREX,742935117
ETGLX,62827L682
HFCSX,42588P700
POAGX,74160Q202
RYPRX,780905600
VLEOX,920454105
DODGX,256219106
LEXCX,92912M105
SSHFX,836083105
FDSTX,86704B798
FGRIX,316389204
FLCSX,315912402
FGRTX,31617F403
GABEX,36239T202
MPGFX,56064V205
PRBLX,701769101
SMVLX,83178C881
VCVLX,922020409
VDIGX,921908604
VICEX,90347D203
YAFFX,00170K570
YACKX,00170K588
VHCOX,922038302
SHRAX,52468C109
FCNTX,316071109
FTQGX,316066406
FOCPX,316389105
PARWX,701765869
MXXVX,577119100
TRBCX,77954Q106
