Ticker,Cusip,Category,Stars,NET,YTD,1yr,3yr,5yr,10yr,10YrG
AKREX,742935117,Large Growth,5,1.32,10.37,15.35,21.74,16.31,18.01,52395.00,test2,,,,,,,,
APGAX,01877C101,Large Growth,5,0.9,14.77,23.13,19.47,16.02,17.80,51467.00,,,,,,,,,
ARTMX,04314H303,Mid-Cap Growth,5,1.19,26.07,25.21,18.95,13.24,16.23,44984.00,"asdsa,asdds","asdsad,asdsa,asd","asd,as,d",,,,,,
ARTSX,04314H105,Small Growth,5,1.21,21.26,24.58,22.37,15.33,17.69,51004.00,,,,,,,,,
ARTYX - !!!! NO DATA FOUND
BGAFX - !!!! NO DATA FOUND
BGSAX,091929570,Technology,5,1.3,41.94,45.53,32.28,26.07,20.84,66389.00,,,,,,,,,
BIOPX,068278407,Large Growth,5,1.34,40.23,41.91,29.36,20.09,17.53,50268.00,,,,,,,,,
BMGAX,091928846,Mid-Cap Growth,5,1.16,13.50,12.43,19.57,14.80,17.02,48148.00,,,,,,,,,
CPOAX,61747T106,Large Growth,5,1.17,67.22,48.57,37.98,26.67,22.78,77834.00,,,,,,,,,
CSEIX,191912104,Real Estate,5,1.12,-14.36,-5.62,3.73,6.93,10.78,27827.00,,,,,,,,,
CSIEX,131618308,Large Growth,4,1,6.20,12.92,18.44,13.93,15.05,40623.00,,,,,,,,,
CTCAX,19765P539,Technology,4,1.24,21.31,30.03,24.03,22.02,20.52,64472.00,,,,,,,,,
CTCAX,19765P539,Technology,4,1.24,21.31,30.03,24.03,22.02,20.52,64472.00,,,,,,,,,
DFDMX - !!!! NO DATA FOUND
FBGRX,316389303,Large Growth,5,0.8,26.87,31.97,22.26,17.35,18.76,55819.00,,,,,,,,,
FBIOX,316390772,Health,3,0.72,15.37,30.69,13.40,4.08,20.90,66748.00,,,,,,,,,
FBIOX,316390772,Health,3,0.72,15.37,30.69,13.40,4.08,20.90,66748.00,,,,,,,,,
FBSOX,316390483,Technology,4,0.73,6.26,12.73,22.46,17.62,20.39,63967.00,,,,,,,,,
FBSOX,316390483,Technology,4,0.73,6.26,12.73,22.46,17.62,20.39,63967.00,,,,,,,,,
FCNTX,316071109,Large Growth,3,0.85,15.80,17.91,16.42,14.05,15.57,42499.00,,,,,,,,,
FNCMX,315912709,Large Growth,5,0.36,18.80,26.68,18.85,16.14,18.05,52554.00,,,,,,,,,
FOCPX,316389105,Large Growth,5,0.89,20.64,29.18,19.62,18.25,19.50,59386.00,,,,,,,,,
FOCPX,316389105,Large Growth,5,0.89,20.64,29.18,19.62,18.25,19.50,59386.00,,,,,,,,,
FSCSX,316390822,Technology,5,0.71,23.00,30.76,26.04,23.56,22.50,76086.00,,,,,,,,,
FSCSX,316390822,Technology,5,0.71,23.00,30.76,26.04,23.56,22.50,76086.00,,,,,,,,,
FSDAX,316390806,Industrials,4,0.75,-28.53,-20.92,4.30,8.25,13.21,34589.00,,,,,,,,,
FSELX,316390863,Technology,3,0.72,7.24,35.00,22.87,22.31,20.75,65891.00,,,,,,,,,
FSELX,316390863,Technology,3,0.72,7.24,35.00,22.87,22.31,20.75,65891.00,,,,,,,,,
FSMEX,316390475,Health,5,0.71,8.63,14.10,16.67,16.48,18.49,54532.00,,,,,,,,,
FSPHX,316390301,Health,5,0.7,9.59,25.84,16.13,9.85,19.56,59674.00,,,,,,,,,
FSPTX,316390202,Technology,4,0.71,26.74,42.69,24.95,22.91,20.18,62859.00,,,,,,,,,
FSRPX,316390731,Consumer Cyclical,5,0.74,15.66,18.44,19.30,16.49,20.07,62292.00,,,,,,,,,
FSRPX,316390731,Consumer Cyclical,5,0.74,15.66,18.44,19.30,16.49,20.07,62292.00,,,,,,,,,
FXAIX,315911750,Large Blend,4,0.015,-0.38,7.49,10.71,10.72,13.97,36985.00,test1,test11,test111,,,,,,
GSXAX,003020716,Small Growth,3,1.41,-1.74,5.83,5.25,8.14,12.63,32838.00,,,,,,,,,
JAGTX,471023663,Technology,5,0.93,24.65,33.91,26.22,23.45,20.09,62370.00,,,,,,,,,
LCGNX,093001535,Large Growth,4,1.09,13.82,20.14,22.15,16.15,17.24,49053.00,,,,,,,,,
MACGX,617440599,Mid-Cap Growth,5,1,75.03,55.74,39.42,22.25,17.87,51776.00,,,,,,,,,
PARMX,701765885,Mid-Cap Blend,5,1.01,-7.63,-3.13,5.48,8.10,12.10,31345.00,,,,,,,,,
PARWX,701765869,Large Blend,2,0.97,-6.78,3.94,5.03,8.85,14.04,37190.00,,,,,,,,,
PHSKX,92828N767,Mid-Cap Growth,5,1.34,32.92,32.86,29.29,20.45,17.26,49174.00,,,,,,,,,
PIXAX,72201F888,Large Value,4,1.33,-16.56,-8.85,2.57,4.94,12.29,31849.00,,,,,,,,,
PRDGX,779546100,Large Blend,4,0.62,-3.95,3.04,10.05,10.46,13.48,35424.00,,,,,,,,,
PRMTX,741454102,Communications,5,0.76,33.86,32.13,21.72,19.52,19.87,61229.00,,,,,,,,,
PRWCX,77954M105,Allocation--50% to 70% Equity,5,0.7,2.21,6.26,9.88,9.76,12.05,31189.00,,,,,,,,,
ROGSX,671081305,Technology,4,0.95,11.13,18.48,18.87,19.88,19.02,57067.00,,,,,,,,,
TRBCX,77954Q106,Large Growth,5,0.69,18.13,19.37,18.97,16.20,18.23,53375.00,,,,,,,,,
VSFTX - !!!! NO DATA FOUND
WAINX - !!!! NO DATA FOUND
WAMCX,936772409,Small Growth,5,1.25,29.26,38.36,28.93,20.75,18.86,56282.00,,,,,,,,,
